# [0]SEQN, [1]Timestamp, [2]Fix_Mode, [3]Num_SV, [4]GPS_Week, [5]TOW, [6]Latitude, [7]Longitude, [8]Ellipsoid_Altitude, [9]MSL_Altitude, [10]GDOP, [11]PDOP, [12]HDOP, [13]VDOP, [14]TDOP, [15]ECEF_X, [16]ECEF_Y, [17]ECEF_Z, [18]ECEF_VX, [19]ECEF_VY, [20]ECEF_VZ
90547,117849812558163,3,8,1854,65827.74,43.7961328,-120.6517534,1370.16,1389.36,1.0,0.69,1.41,0.37,1.45,-2351371.24,-3967767.58,4392717.64,0.0,0.0,0.0
90550,117849862606357,3,8,1854,65827.79,43.7961328,-120.6517534,1370.16,1389.36,1.0,0.69,1.41,0.37,1.45,-2351371.24,-3967767.58,4392717.64,0.0,0.0,0.0
90553,117849912246468,3,8,1854,65827.84,43.7961328,-120.6517534,1370.16,1389.36,1.0,0.69,1.41,0.37,1.45,-2351371.24,-3967767.58,4392717.64,0.0,0.0,0.0
90556,117849962216370,3,8,1854,65827.89,43.7961328,-120.6517534,1370.16,1389.36,1.0,0.69,1.41,0.37,1.45,-2351371.24,-3967767.58,4392717.64,0.0,0.0,0.0
90559,117850017212400,3,8,1854,65827.94,43.7961328,-120.6517534,1370.16,1389.36,1.0,0.69,1.41,0.37,1.45,-2351371.24,-3967767.58,4392717.64,0.0,0.0,0.0
90562,117850061793209,3,8,1854,65827.99,43.7961328,-120.6517534,1370.16,1389.36,1.0,0.69,1.41,0.37,1.45,-2351371.24,-3967767.58,4392717.64,0.0,0.0,0.0
90565,117850112851029,3,8,1854,65828.04,43.7961328,-120.6517534,1370.16,1389.36,1.0,0.69,1.41,0.37,1.45,-2351371.24,-3967767.58,4392717.64,0.0,0.0,0.0
90568,117850161445895,3,8,1854,65828.09,43.7961328,-120.6517534,1370.16,1389.36,1.0,0.69,1.41,0.37,1.45,-2351371.24,-3967767.58,4392717.64,0.0,0.0,0.0
90571,117850211456235,3,8,1854,65828.14,43.7961328,-120.6517534,1370.16,1389.36,1.0,0.69,1.41,0.37,1.45,-2351371.24,-3967767.58,4392717.64,0.0,0.0,0.0
90574,117850260483559,3,8,1854,65828.19,43.7961328,-120.6517534,1370.16,1389.36,1.0,0.69,1.41,0.37,1.45,-2351371.24,-3967767.58,4392717.64,0.0,0.0,0.0
90577,117850311030350,3,8,1854,65828.24,43.7961328,-120.6517534,1370.16,1389.36,1.0,0.69,1.41,0.37,1.45,-2351371.24,-3967767.58,4392717.64,0.0,0.0,0.0
90580,117850360624785,3,8,1854,65828.29,43.7961328,-120.6517534,1370.16,1389.36,1.0,0.69,1.41,0.37,1.45,-2351371.24,-3967767.58,4392717.64,0.0,0.0,0.0
90583,117850410614592,3,8,1854,65828.34,43.7961328,-120.6517534,1370.16,1389.36,1.0,0.69,1.41,0.37,1.45,-2351371.24,-3967767.58,4392717.64,0.0,0.0,0.0
90586,117850460201554,3,8,1854,65828.39,43.7961328,-120.6517534,1370.16,1389.36,1.0,0.69,1.41,0.37,1.45,-2351371.24,-3967767.58,4392717.64,0.0,0.0,0.0
90589,117850510090231,3,8,1854,65828.44,43.7961328,-120.6517534,1370.16,1389.36,1.0,0.69,1.41,0.37,1.45,-2351371.24,-3967767.58,4392717.64,0.0,0.0,0.0
90592,117850560025771,3,8,1854,65828.49,43.7961328,-120.6517534,1370.16,1389.36,1.0,0.69,1.41,0.37,1.45,-2351371.24,-3967767.58,4392717.64,0.0,0.0,0.0
90595,117850609862765,3,8,1854,65828.54,43.7961328,-120.6517534,1370.16,1389.36,1.0,0.69,1.41,0.37,1.45,-2351371.24,-3967767.58,4392717.64,0.0,0.0,0.0
90598,117850659676920,3,8,1854,65828.59,43.7961328,-120.6517534,1370.16,1389.36,1.0,0.69,1.41,0.37,1.45,-2351371.24,-3967767.58,4392717.64,0.0,0.0,0.0
90601,117850709444422,3,8,1854,65828.64,43.7961328,-120.6517534,1370.16,1389.36,1.0,0.69,1.41,0.37,1.45,-2351371.24,-3967767.58,4392717.64,0.0,0.0,0.0
90604,117850759463911,3,8,1854,65828.69,43.7961328,-120.6517534,1370.16,1389.36,1.0,0.69,1.41,0.37,1.45,-2351371.24,-3967767.58,4392717.64,0.0,0.0,0.0
90607,117850809059115,3,8,1854,65828.74,43.7961328,-120.6517534,1370.16,1389.36,1.0,0.69,1.41,0.37,1.45,-2351371.24,-3967767.58,4392717.64,0.0,0.0,0.0
90610,117850859001499,3,8,1854,65828.79,43.7961328,-120.6517534,1370.16,1389.36,1.0,0.69,1.41,0.37,1.45,-2351371.24,-3967767.58,4392717.64,0.0,0.0,0.0
90613,117850908909452,3,8,1854,65828.84,43.7961328,-120.6517534,1370.16,1389.36,1.0,0.69,1.41,0.37,1.45,-2351371.24,-3967767.58,4392717.64,0.0,0.0,0.0
90616,117850958163481,3,8,1854,65828.89,43.7961328,-120.6517534,1370.16,1389.36,1.0,0.69,1.41,0.37,1.45,-2351371.24,-3967767.58,4392717.64,0.0,0.0,0.0
90619,117851010261377,3,8,1854,65828.94,43.7961328,-120.6517534,1370.16,1389.36,1.0,0.69,1.41,0.37,1.45,-2351371.24,-3967767.58,4392717.64,0.0,0.0,0.0
90622,117851054739938,3,8,1854,65828.99,43.7961328,-120.6517534,1370.16,1389.36,1.0,0.69,1.41,0.37,1.45,-2351371.24,-3967767.58,4392717.64,0.0,0.0,0.0
90625,117851110796158,3,8,1854,65829.04,43.7961328,-120.6517534,1370.16,1389.36,1.0,0.69,1.41,0.37,1.45,-2351371.24,-3967767.58,4392717.64,0.0,0.0,0.0
90628,117851159830606,3,8,1854,65829.09,43.7961328,-120.6517534,1370.16,1389.36,1.0,0.69,1.41,0.37,1.45,-2351371.24,-3967767.58,4392717.64,0.0,0.0,0.0
90631,117851209959397,2,8,1854,65829.14,43.7961328,-120.6517673,1368.8,1388.0,1.0,0.69,1.41,0.37,1.45,-2351371.7,-3967766.16,4392716.7,0.0,0.0,0.0
90634,117851256956854,2,8,1854,65829.19,43.7961328,-120.6517673,1368.8,1388.0,1.0,0.69,1.41,0.37,1.45,-2351371.7,-3967766.16,4392716.7,0.0,0.0,0.0
90637,117851309479734,2,8,1854,65829.24,43.7961328,-120.6517673,1368.8,1388.0,1.0,0.69,1.41,0.37,1.45,-2351371.7,-3967766.16,4392716.7,0.0,0.0,0.0
90640,117851359107134,2,8,1854,65829.29,43.7961328,-120.6517673,1368.8,1388.0,1.0,0.69,1.41,0.37,1.45,-2351371.7,-3967766.16,4392716.7,0.0,0.0,0.0
90643,117851409091284,2,8,1854,65829.34,43.7961328,-120.6517673,1368.8,1388.0,1.0,0.69,1.41,0.37,1.45,-2351371.7,-3967766.16,4392716.7,0.0,0.0,0.0
90646,117851458690398,2,8,1854,65829.39,43.7961328,-120.6517673,1368.8,1388.0,1.0,0.69,1.41,0.37,1.45,-2351371.7,-3967766.16,4392716.7,0.0,0.0,0.0
90649,117851508560287,2,8,1854,65829.44,43.7961328,-120.6517673,1368.8,1388.0,1.0,0.69,1.41,0.37,1.45,-2351371.7,-3967766.16,4392716.7,0.0,0.0,0.0
90652,117851557755999,2,8,1854,65829.49,43.7961328,-120.6517673,1368.8,1388.0,1.0,0.69,1.41,0.37,1.45,-2351371.7,-3967766.16,4392716.7,0.0,0.0,0.0
90655,117851608164294,2,8,1854,65829.54,43.7961328,-120.6517673,1368.8,1388.0,1.0,0.69,1.41,0.37,1.45,-2351371.7,-3967766.16,4392716.7,0.0,0.0,0.0
90658,117851657777447,2,8,1854,65829.59,43.7961328,-120.6517673,1368.8,1388.0,1.0,0.69,1.41,0.37,1.45,-2351371.7,-3967766.16,4392716.7,0.0,0.0,0.0
90661,117851707867546,2,8,1854,65829.64,43.7961328,-120.6517673,1368.8,1388.0,1.0,0.69,1.41,0.37,1.45,-2351371.7,-3967766.16,4392716.7,0.0,0.0,0.0
90664,117851757505073,2,8,1854,65829.69,43.7961328,-120.6517673,1368.8,1388.0,1.0,0.69,1.41,0.37,1.45,-2351371.7,-3967766.16,4392716.7,0.0,0.0,0.0
90667,117851807493343,2,8,1854,65829.74,43.7961328,-120.6517673,1368.8,1388.0,1.0,0.69,1.41,0.37,1.45,-2351371.7,-3967766.16,4392716.7,0.0,0.0,0.0
90670,117851857488109,2,8,1854,65829.79,43.7961328,-120.6517673,1368.8,1388.0,1.0,0.69,1.41,0.37,1.45,-2351371.7,-3967766.16,4392716.7,0.0,0.0,0.0
90673,117851907067877,2,8,1854,65829.84,43.7961328,-120.6517673,1368.8,1388.0,1.0,0.69,1.41,0.37,1.45,-2351371.7,-3967766.16,4392716.7,0.0,0.0,0.0
90676,117851956129423,2,8,1854,65829.89,43.7961328,-120.6517673,1368.8,1388.0,1.0,0.69,1.41,0.37,1.45,-2351371.7,-3967766.16,4392716.7,0.0,0.0,0.0
90679,117852015773530,2,8,1854,65829.94,43.7961328,-120.6517673,1368.8,1388.0,1.0,0.69,1.41,0.37,1.45,-2351371.7,-3967766.16,4392716.7,0.0,0.0,0.0
90682,117852060196987,3,8,1854,65829.99,43.7961328,-120.6517673,1368.8,1388.0,1.0,0.69,1.41,0.37,1.45,-2351371.7,-3967766.16,4392716.7,0.0,0.0,0.0
90685,117852111297689,3,8,1854,65830.04,43.7961328,-120.6517673,1368.8,1388.0,1.0,0.69,1.41,0.37,1.45,-2351371.7,-3967766.16,4392716.7,0.0,0.0,0.0
90688,117852159380828,3,8,1854,65830.09,43.7961328,-120.6517673,1368.8,1388.0,1.0,0.69,1.41,0.37,1.45,-2351371.7,-3967766.16,4392716.7,0.0,0.0,0.0
90691,117852209835359,3,8,1854,65830.14,43.7961328,-120.6517673,1368.8,1388.0,1.0,0.69,1.41,0.37,1.45,-2351371.7,-3967766.16,4392716.7,0.0,0.0,0.0
90694,117852259140721,3,8,1854,65830.19,43.7961328,-120.6517673,1368.8,1388.0,1.0,0.69,1.41,0.37,1.45,-2351371.7,-3967766.16,4392716.7,0.0,0.0,0.0
90697,117852309448166,3,8,1854,65830.24,43.7961328,-120.6517673,1368.8,1388.0,1.0,0.69,1.41,0.37,1.45,-2351371.7,-3967766.16,4392716.7,0.0,0.0,0.0
90700,117852358759255,3,8,1854,65830.29,43.7961328,-120.6517673,1368.8,1388.0,1.0,0.69,1.41,0.37,1.45,-2351371.7,-3967766.16,4392716.7,0.0,0.0,0.0
90703,117852409076547,3,8,1854,65830.34,43.7961328,-120.6517673,1368.8,1388.0,1.0,0.69,1.41,0.37,1.45,-2351371.7,-3967766.16,4392716.7,0.0,0.0,0.0
90706,117852459023471,3,8,1854,65830.39,43.7961328,-120.6517673,1368.8,1388.0,1.0,0.69,1.41,0.37,1.45,-2351371.7,-3967766.16,4392716.7,0.0,0.0,0.0
90709,117852508643119,3,8,1854,65830.44,43.7961328,-120.6517673,1368.8,1388.0,1.0,0.69,1.41,0.37,1.45,-2351371.7,-3967766.16,4392716.7,0.0,0.0,0.0
90712,117852560023536,3,8,1854,65830.49,43.7961328,-120.6517673,1368.8,1388.0,1.0,0.69,1.41,0.37,1.45,-2351371.7,-3967766.16,4392716.7,0.0,0.0,0.0
90715,117852608571958,3,8,1854,65830.54,43.7961328,-120.6517673,1368.8,1388.0,1.0,0.69,1.41,0.37,1.45,-2351371.7,-3967766.16,4392716.7,0.0,0.0,0.0
90718,117852658128260,3,8,1854,65830.59,43.7961328,-120.6517673,1368.8,1388.0,1.0,0.69,1.41,0.37,1.45,-2351371.7,-3967766.16,4392716.7,0.0,0.0,0.0
90721,117852713845331,3,8,1854,65830.64,43.7961328,-120.6517673,1368.8,1388.0,1.0,0.69,1.41,0.37,1.45,-2351371.7,-3967766.16,4392716.7,0.0,0.0,0.0
90725,117852763386966,3,8,1854,65830.69,43.7961328,-120.6517673,1368.8,1388.0,1.0,0.69,1.41,0.37,1.45,-2351371.7,-3967766.16,4392716.7,0.0,0.0,0.0
90727,117852813259719,3,8,1854,65830.74,43.7961328,-120.6517673,1368.8,1388.0,1.0,0.69,1.41,0.37,1.45,-2351371.7,-3967766.16,4392716.7,0.0,0.0,0.0
90730,117852862976446,3,8,1854,65830.79,43.7961328,-120.6517673,1368.8,1388.0,1.0,0.69,1.41,0.37,1.45,-2351371.7,-3967766.16,4392716.7,0.0,0.0,0.0
90733,117852913007040,3,8,1854,65830.84,43.7961328,-120.6517673,1368.8,1388.0,1.0,0.69,1.41,0.37,1.45,-2351371.7,-3967766.16,4392716.7,0.0,0.0,0.0
90736,117852962075082,3,8,1854,65830.89,43.7961328,-120.6517673,1368.8,1388.0,1.0,0.69,1.41,0.37,1.45,-2351371.7,-3967766.16,4392716.7,0.0,0.0,0.0
90739,117853017601975,3,8,1854,65830.94,43.7961328,-120.6517673,1368.8,1388.0,1.0,0.69,1.41,0.37,1.45,-2351371.7,-3967766.16,4392716.7,0.0,0.0,0.0
90742,117853061668822,3,8,1854,65830.99,43.7961328,-120.6517673,1368.8,1388.0,1.0,0.69,1.41,0.37,1.45,-2351371.7,-3967766.16,4392716.7,0.0,0.0,0.0
90745,117853112690673,3,8,1854,65831.04,43.7961328,-120.6517673,1368.8,1388.0,1.0,0.69,1.41,0.37,1.45,-2351371.7,-3967766.16,4392716.7,0.0,0.0,0.0
90748,117853161264029,3,8,1854,65831.09,43.7961328,-120.6517673,1368.8,1388.0,1.0,0.69,1.41,0.37,1.45,-2351371.7,-3967766.16,4392716.7,0.0,0.0,0.0
90751,117853211784699,3,8,1854,65831.14,43.7961328,-120.6517673,1368.8,1388.0,1.0,0.69,1.41,0.37,1.45,-2351371.7,-3967766.16,4392716.7,0.0,0.0,0.0
90754,117853261717445,3,8,1854,65831.19,43.7961328,-120.6517673,1368.8,1388.0,1.0,0.69,1.41,0.37,1.45,-2351371.7,-3967766.16,4392716.7,0.0,0.0,0.0
90757,117853311385423,3,8,1854,65831.24,43.7961328,-120.6517673,1368.8,1388.0,1.0,0.69,1.41,0.37,1.45,-2351371.7,-3967766.16,4392716.7,0.0,0.0,0.0
90760,117853360695465,3,8,1854,65831.29,43.7961328,-120.6517673,1368.8,1388.0,1.0,0.69,1.41,0.37,1.45,-2351371.7,-3967766.16,4392716.7,0.0,0.0,0.0
90763,117853411219976,3,8,1854,65831.34,43.7961328,-120.6517673,1368.8,1388.0,1.0,0.69,1.41,0.37,1.45,-2351371.7,-3967766.16,4392716.7,0.0,0.0,0.0
90766,117853461027148,3,8,1854,65831.39,43.7961328,-120.6517673,1368.8,1388.0,1.0,0.69,1.41,0.37,1.45,-2351371.7,-3967766.16,4392716.7,0.0,0.0,0.0
90769,117853510922599,3,8,1854,65831.44,43.7961328,-120.6517673,1368.8,1388.0,1.0,0.69,1.41,0.37,1.45,-2351371.7,-3967766.16,4392716.7,0.0,0.0,0.0
90772,117853560613764,3,8,1854,65831.49,43.7961328,-120.6517673,1368.8,1388.0,1.0,0.69,1.41,0.37,1.45,-2351371.7,-3967766.16,4392716.7,0.0,0.0,0.0
# Launch Detect:      117853569585227
90775,117853610593444,3,8,1854,65831.54,43.7961328,-120.6517673,1368.8,1388.0,1.0,0.69,1.41,0.37,1.45,-2351371.7,-3967766.16,4392716.7,0.0,0.0,0.0
90778,117853659586825,3,8,1854,65831.59,43.7961328,-120.6517673,1368.8,1388.0,1.0,0.69,1.41,0.37,1.45,-2351371.7,-3967766.16,4392716.7,0.0,0.0,0.0
90781,117853710318346,3,8,1854,65831.64,43.7961328,-120.6517673,1368.8,1388.0,1.0,0.69,1.41,0.37,1.45,-2351371.7,-3967766.16,4392716.7,0.0,0.0,0.0
90784,117853759817448,3,8,1854,65831.69,43.7961328,-120.6517673,1368.8,1388.0,1.0,0.69,1.41,0.37,1.45,-2351371.7,-3967766.16,4392716.7,0.0,0.0,0.0
90787,117853809858728,3,8,1854,65831.74,43.7961328,-120.6517673,1368.8,1388.0,1.0,0.69,1.41,0.37,1.45,-2351371.7,-3967766.16,4392716.7,0.0,0.0,0.0
90790,117853859593963,3,8,1854,65831.79,43.7961328,-120.6517673,1368.8,1388.0,1.0,0.69,1.41,0.37,1.45,-2351371.7,-3967766.16,4392716.7,0.0,0.0,0.0
90793,117853909473909,3,8,1854,65831.84,43.7961328,-120.6517673,1368.8,1388.0,1.0,0.69,1.41,0.37,1.45,-2351371.7,-3967766.16,4392716.7,0.0,0.0,0.0
90796,117853958869367,3,8,1854,65831.89,43.7961328,-120.6517673,1368.8,1388.0,1.0,0.69,1.41,0.37,1.45,-2351371.7,-3967766.16,4392716.7,0.0,0.0,0.0
90799,117854014551936,3,8,1854,65831.94,43.7961328,-120.6517673,1368.8,1388.0,1.0,0.69,1.41,0.37,1.45,-2351371.7,-3967766.16,4392716.7,0.0,0.0,0.0
90802,117854059260555,3,9,1854,65831.99,43.7961245,-120.651677,1371.76,1390.96,0.03,2.41,1.08,2.16,0.94,-2351366.86,-3967772.26,4392718.08,0.96,0.18,0.19
90805,117854109077504,3,9,1854,65832.04,43.7961249,-120.6516772,1371.46,1390.66,0.03,2.41,1.08,2.16,0.94,-2351366.75,-3967772.04,4392717.91,1.61,0.35,0.67
90808,117854158689469,3,9,1854,65832.09,43.7961253,-120.651677,1371.26,1390.46,0.03,2.41,1.08,2.16,0.94,-2351366.65,-3967771.89,4392717.8,1.65,0.37,0.65
90811,117854208608946,3,9,1854,65832.14,43.7961256,-120.6516768,1371.03,1390.23,0.03,2.41,1.08,2.16,0.94,-2351366.54,-3967771.74,4392717.66,2.1,0.85,0.02
90814,117854258299622,3,9,1854,65832.19,43.7961258,-120.6516763,1370.88,1390.08,0.03,2.41,1.08,2.16,0.94,-2351366.44,-3967771.65,4392717.58,2.15,1.05,-0.2
90817,117854313817227,3,9,1854,65832.24,43.7961261,-120.6516756,1370.79,1389.99,0.03,2.41,1.08,2.16,0.94,-2351366.35,-3967771.6,4392717.54,2.0,1.21,-0.5
90820,117854363879878,3,9,1854,65832.29,43.7961266,-120.651675,1370.63,1389.83,0.03,2.41,1.08,2.16,0.94,-2351366.24,-3967771.5,4392717.47,2.12,1.98,-0.9
90823,117854413791882,3,9,1854,65832.34,43.7961269,-120.6516745,1370.47,1389.67,0.03,2.41,1.08,2.16,0.94,-2351366.12,-3967771.39,4392717.38,2.14,1.97,-0.94
90827,117854463510634,3,9,1854,65832.39,43.7961274,-120.6516738,1370.42,1389.62,0.03,2.41,1.08,2.16,0.94,-2351366.04,-3967771.36,4392717.39,2.12,1.92,-0.92
90829,117854513501698,3,9,1854,65832.44,43.796128,-120.6516734,1370.29,1389.49,0.03,2.41,1.08,2.16,0.94,-2351365.94,-3967771.26,4392717.35,2.13,1.92,-0.89
90832,117854563078394,3,9,1854,65832.49,43.7961287,-120.6516732,1370.18,1389.38,0.03,2.41,1.08,2.16,0.94,-2351365.85,-3967771.15,4392717.33,2.13,1.89,-0.8
90835,117854612991375,3,9,1854,65832.54,43.7961295,-120.6516729,1369.98,1389.18,0.03,2.41,1.08,2.16,0.94,-2351365.74,-3967770.99,4392717.25,2.11,1.93,-0.77
90838,117854662714178,3,9,1854,65832.59,43.79613,-120.6516727,1369.71,1388.91,0.03,2.41,1.08,2.16,0.94,-2351365.6,-3967770.79,4392717.1,2.11,2.01,-0.76
90841,117854712722982,3,9,1854,65832.64,43.7961306,-120.6516728,1369.4,1388.6,0.03,2.41,1.08,2.16,0.94,-2351365.47,-3967770.56,4392716.93,2.13,2.06,-0.68
90844,117854762287734,3,9,1854,65832.69,43.7961314,-120.6516728,1369.11,1388.31,0.03,2.41,1.08,2.16,0.94,-2351365.33,-3967770.32,4392716.8,2.1,2.1,-0.64
90847,117854812303662,3,9,1854,65832.74,43.7961324,-120.651673,1368.75,1387.95,0.03,2.41,1.08,2.16,0.94,-2351365.18,-3967770.03,4392716.63,2.08,2.21,-0.63
90850,117854861705754,3,9,1854,65832.79,43.7961336,-120.6516731,1368.47,1387.67,0.03,2.41,1.08,2.16,0.94,-2351365.03,-3967769.77,4392716.54,2.06,2.26,-0.59
90853,117854911927922,3,9,1854,65832.84,43.7961349,-120.6516732,1368.2,1387.4,0.03,2.41,1.08,2.16,0.94,-2351364.88,-3967769.51,4392716.46,2.06,2.3,-0.54
90856,117854961452726,3,9,1854,65832.89,43.7961365,-120.6516734,1367.96,1387.15,0.03,2.41,1.08,2.16,0.94,-2351364.74,-3967769.25,4392716.41,2.05,2.36,-0.48
90859,117855012745911,3,9,1854,65832.94,43.7961381,-120.6516739,1367.56,1386.76,0.03,2.41,1.08,2.16,0.94,-2351364.57,-3967768.88,4392716.27,2.09,2.49,-0.43
90862,117855057454250,3,9,1854,65832.99,43.7961381,-120.6516739,1367.56,1386.76,0.03,2.41,1.08,2.16,0.94,-2351364.57,-3967768.88,4392716.27,2.09,2.49,-0.43
90865,117855106704227,3,9,1854,65833.04,43.7961381,-120.6516739,1367.56,1386.76,0.03,2.41,1.08,2.16,0.94,-2351364.57,-3967768.88,4392716.27,2.09,2.49,-0.43
90868,117855156646542,3,9,1854,65833.09,43.7961381,-120.6516739,1367.56,1386.76,0.03,2.41,1.08,2.16,0.94,-2351364.57,-3967768.88,4392716.27,2.09,2.49,-0.43
90871,117855204610742,2,9,1854,65833.14,43.7961381,-120.6516739,1367.56,1386.76,0.03,2.41,1.08,2.16,0.94,-2351364.57,-3967768.88,4392716.27,2.09,2.49,-0.43
90874,117855256518181,2,9,1854,65833.19,43.7961381,-120.6516739,1367.56,1386.76,0.03,2.41,1.08,2.16,0.94,-2351364.57,-3967768.88,4392716.27,2.09,2.49,-0.43
90877,117855306068756,2,9,1854,65833.24,43.7961381,-120.6516739,1367.56,1386.76,0.03,2.41,1.08,2.16,0.94,-2351364.57,-3967768.88,4392716.27,2.09,2.49,-0.43
90880,117855355835978,2,9,1854,65833.29,43.7961381,-120.6516739,1367.56,1386.76,0.03,2.41,1.08,2.16,0.94,-2351364.57,-3967768.88,4392716.27,2.09,2.49,-0.43
90883,117855405932642,2,9,1854,65833.34,43.7961381,-120.6516739,1367.56,1386.76,0.03,2.41,1.08,2.16,0.94,-2351364.57,-3967768.88,4392716.27,2.09,2.49,-0.43
90886,117855455975458,2,9,1854,65833.39,43.7961381,-120.6516739,1367.56,1386.76,0.03,2.41,1.08,2.16,0.94,-2351364.57,-3967768.88,4392716.27,2.09,2.49,-0.43
90889,117855504821125,2,9,1854,65833.44,43.7961381,-120.6516739,1367.56,1386.76,0.03,2.41,1.08,2.16,0.94,-2351364.57,-3967768.88,4392716.27,2.09,2.49,-0.43
90892,117855554826576,2,9,1854,65833.49,43.7961381,-120.6516739,1367.56,1386.76,0.03,2.41,1.08,2.16,0.94,-2351364.57,-3967768.88,4392716.27,2.09,2.49,-0.43
90895,117855604557900,2,9,1854,65833.54,43.7961381,-120.6516739,1367.56,1386.76,0.03,2.41,1.08,2.16,0.94,-2351364.57,-3967768.88,4392716.27,2.09,2.49,-0.43
90898,117855654612170,2,9,1854,65833.59,43.7961381,-120.6516739,1367.56,1386.76,0.03,2.41,1.08,2.16,0.94,-2351364.57,-3967768.88,4392716.27,2.09,2.49,-0.43
90901,117855704015520,2,9,1854,65833.64,43.7961381,-120.6516739,1367.56,1386.76,0.03,2.41,1.08,2.16,0.94,-2351364.57,-3967768.88,4392716.27,2.09,2.49,-0.43
90904,117855754245860,2,9,1854,65833.69,43.7961381,-120.6516739,1367.56,1386.76,0.03,2.41,1.08,2.16,0.94,-2351364.57,-3967768.88,4392716.27,2.09,2.49,-0.43
90907,117855804252708,2,9,1854,65833.74,43.7961381,-120.6516739,1367.56,1386.76,0.03,2.41,1.08,2.16,0.94,-2351364.57,-3967768.88,4392716.27,2.09,2.49,-0.43
90910,117855853743848,2,9,1854,65833.79,43.7961381,-120.6516739,1367.56,1386.76,0.03,2.41,1.08,2.16,0.94,-2351364.57,-3967768.88,4392716.27,2.09,2.49,-0.43
90913,117855909168843,2,9,1854,65833.84,43.7961381,-120.6516739,1367.56,1386.76,0.03,2.41,1.08,2.16,0.94,-2351364.57,-3967768.88,4392716.27,2.09,2.49,-0.43
90916,117855958920910,2,9,1854,65833.89,43.7961381,-120.6516739,1367.56,1386.76,0.03,2.41,1.08,2.16,0.94,-2351364.57,-3967768.88,4392716.27,2.09,2.49,-0.43
90919,117856012992101,2,9,1854,65833.94,43.7961381,-120.6516739,1367.56,1386.76,0.03,2.41,1.08,2.16,0.94,-2351364.57,-3967768.88,4392716.27,2.09,2.49,-0.43
90922,117856057628783,2,9,1854,65833.99,43.7961381,-120.6516739,1367.56,1386.76,0.03,2.41,1.08,2.16,0.94,-2351364.57,-3967768.88,4392716.27,2.09,2.49,-0.43
90925,117856107589396,2,9,1854,65834.04,43.7961381,-120.6516739,1367.56,1386.76,0.03,2.41,1.08,2.16,0.94,-2351364.57,-3967768.88,4392716.27,2.09,2.49,-0.43
